0,{'prod_name': 'iphone-11', 'name': 'No name', 'customer_rating': '4.6', 'comment_header': 'No header', 'customer_comment': '', 'likes': 'No likes', 'dislikes': 'No dislikes'}
1,{'prod_name': 'iphone-11', 'name': 'No name', 'customer_rating': 'No rating', 'comment_header': 'No header', 'customer_comment': 'No comment', 'likes': 'No likes', 'dislikes': 'No dislikes'}
2,{'prod_name': 'iphone-11', 'name': 'No name', 'customer_rating': 'No rating', 'comment_header': 'No header', 'customer_comment': 'No comment', 'likes': 'No likes', 'dislikes': 'No dislikes'}
3,{'prod_name': 'iphone-11', 'name': 'No name', 'customer_rating': 'No rating', 'comment_header': 'No header', 'customer_comment': 'No comment', 'likes': 'No likes', 'dislikes': 'No dislikes'}
4,{'prod_name': 'iphone-11', 'name': 'Ajith S', 'customer_rating': 'No rating', 'comment_header': 'No header', 'customer_comment': '...Back camera is good and also provide good saturation and details.', 'likes': 'No likes', 'dislikes': 'No dislikes'}
5,{'prod_name': 'iphone-11', 'name': 'KARUN SHARMA', 'customer_rating': 'No rating', 'comment_header': 'No header', 'customer_comment': '...Pros: 1. Camera is unmatchable, takes DSLR quality photos', 'likes': 'No likes', 'dislikes': 'No dislikes'}
6,{'prod_name': 'iphone-11', 'name': 'deshraj  verma', 'customer_rating': 'No rating', 'comment_header': 'No header', 'customer_comment': '...This is my first iPhone 😍😍, the camera quality is awesome', 'likes': 'No likes', 'dislikes': 'No dislikes'}
7,{'prod_name': 'iphone-11', 'name': 'Amit Chaudhary', 'customer_rating': 'No rating', 'comment_header': 'No header', 'customer_comment': '...As a first time iPhone user following things I noticed 1. Camera quality is just superb in indoor lighting conditions.', 'likes': 'No likes', 'dislikes': 'No dislikes'}
8,{'prod_name': 'iphone-11', 'name': 'Amrinder Mehta', 'customer_rating': 'No rating', 'comment_header': 'No header', 'customer_comment': '...Camera quality is just awesome and the major feel when we hold in our hands.', 'likes': 'No likes', 'dislikes': 'No dislikes'}
9,{'prod_name': 'iphone-11', 'name': 'Suraj Kumar', 'customer_rating': 'No rating', 'comment_header': 'No header', 'customer_comment': '...Camera: awesome in light-but Low light camera performance is not very good', 'likes': 'No likes', 'dislikes': 'No dislikes'}
10,{'prod_name': 'iphone-11', 'name': 'Sana James', 'customer_rating': 'No rating', 'comment_header': 'No header', 'customer_comment': '...couldn’t able to review the phone..... camera quality is superb plus the features of phone... good phone all must buy.....', 'likes': 'No likes', 'dislikes': 'No dislikes'}
11,{'prod_name': 'iphone-11', 'name': 'Souvik Shaw', 'customer_rating': 'No rating', 'comment_header': 'No header', 'customer_comment': '...The camera quality is great as usual like other generation iPhones.', 'likes': 'No likes', 'dislikes': 'No dislikes'}
12,{'prod_name': 'iphone-11', 'name': 'Suvojit Talukder', 'customer_rating': 'No rating', 'comment_header': 'No header', 'customer_comment': "... It has ok ok camera, I don't know why it is so overhyped.😒", 'likes': 'No likes', 'dislikes': 'No dislikes'}
13,{'prod_name': 'iphone-11', 'name': 'Ayan Borkotoky', 'customer_rating': 'No rating', 'comment_header': 'No header', 'customer_comment': '...PROS:1. Ballistic performance2. Amazing image quality from the camera setup3. Superb battery performance, 4. Design', 'likes': 'No likes', 'dislikes': 'No dislikes'}
